ID	year	human_pop	cover_loss	fire	urbanization	bee	caterpillar	scorpion	snake	spider
AM	2018	3789070.333	149359451.6	122006.195	47683.19942	49	77	459	1836	219
AM	2019	3827206	149125053.6	197620.1962	48026.46127	55	28	509	2198	206
AM	2020	3865341.667	149090851.9	153998.0816	48321.84507	38	30	434	2130	180
AM	2021	3903477.333	148672597.5	162875.2758	48368.86331	55	30	548	2105	248
AM	2022	3941613	147809013.4	453785.7995	49027.39968	101	26	525	1875	265
RR	2007	412654.4	21318995.39	827903.5709	14262.5396	24	5	33	276	15
RR	2008	425262.6	21263036.37	501089.707	14477.48237	47	1	36	184	8
RR	2009	437870.8	21265570.22	569935.4956	14638.15895	60	2	43	302	19
RR	2010	450479	21269007.46	276849.4682	14831.4644	28	5	47	227	23
RR	2011	465998	21258560.12	515650.0512	14998.83185	43	2	46	346	18
RR	2012	481517	21273173.69	242322.475	15149.25373	45	3	82	455	21
RR	2013	497036	21291834.5	263980.4246	15339.12956	51	9	63	421	25
RR	2014	512555	21280422.86	1040899.351	15555.49522	67	10	81	375	29
RR	2015	528074	21268342.41	1028924.874	15725.81797	48	5	80	367	25
RR	2016	543593	21196668.21	1082103.273	15832.23567	81	13	105	356	33
RR	2017	559112	21140779.11	612257.5117	16015.12899	169	30	138	465	60
RR	2018	574631	21143964.29	849566.8628	16087.55371	123	33	216	580	60
RR	2019	590150	21126744.54	1290443.675	16150.25611	209	34	293	488	52
RR	2020	605669	21074617.5	964619.0937	16223.57219	139	18	231	415	40
RR	2021	621188	20981530.21	292681.5113	16226.8762	112	18	181	446	48
RR	2022	636707	20722281.43	516440.6301	16498.16714	149	23	155	549	66
PA	2007	7165525.2	102535247.6	2037094.445	90224.95443	30	15	1331	4491	244
PA	2008	7304033.8	102010529.2	1008757.306	93209.91883	25	9	1521	4659	234
PA	2009	7442542.4	101603373.9	867266.8466	95391.9225	29	24	1651	5029	270
PA	2010	7581051	101508788.7	1878863.341	98591.67168	30	18	1513	5122	274
PA	2011	7626048.833	101448271.6	490729.1012	102324.5697	49	24	1752	5048	355
PA	2012	7671046.667	101351181.4	801425.3038	105547.9431	83	24	1799	4756	339
PA	2013	7716044.5	101141461.8	417227.2427	110269.5538	133	38	1899	5217	341
PA	2014	7761042.333	100899126	858875.424	113663.1298	82	34	1927	5026	252
PA	2015	7806040.167	100561151.2	1403538.704	116610.6266	97	15	1865	4842	233
PA	2016	7851038	100228768.1	1792312.223	118597.5151	80	29	1474	4708	241
PA	2017	7896035.833	99831275.76	1887149.978	120518.8837	123	24	1806	4665	337
PA	2018	7941033.667	99514689.86	534586.6949	121959.4963	133	32	1731	4717	305
PA	2019	7986031.5	99037352.89	821229.1744	123055.58	216	53	2165	5293	366
PA	2020	8031029.333	98604001.17	1021256.65	124120.0478	175	49	2097	5343	336
PA	2021	8076027.167	97749146.8	289652.2336	124149.0129	155	42	2414	5621	472
PA	2022	8121025	96658538.1	1078534.416	125929.8872	281	86	3358	5352	631
AP	2007	611777.8	13638577.4	155491.2586	11421.47299	1	4	139	338	11
AP	2008	631027.2	13650995.29	364549.4409	11620.30336	2	NA	131	336	9
AP	2009	650276.6	13666272.59	404725.1051	11758.84269	1	2	149	385	12
AP	2010	669526	13658158.42	132882.0738	11863.38807	NA	3	95	325	4
AP	2011	674878.75	13651759.71	164367.4321	12009.79765	7	3	123	338	14
AP	2012	680231.5	13676135.6	325705.7796	12284.02166	NA	7	161	427	9
AP	2013	685584.25	13701027.43	151675.7409	12464.37306	NA	3	135	431	22
AP	2014	690937	13703241.57	232001.429	12651.64861	3	3	192	548	9
AP	2015	696289.75	13717073.21	352845.9175	12744.96915	NA	1	194	534	13
AP	2016	701642.5	13706671.18	222140.9278	12821.20604	2	5	180	485	23
AP	2017	706995.25	13698721.23	140729.2091	12932.49447	2	9	194	592	39
AP	2018	712348	13721111.6	120658.8224	13051.25761	6	9	251	656	31
AP	2019	717700.75	13720050.31	190187.7693	13122.31402	16	6	332	720	48
AP	2020	723053.5	13702797.74	95877.89595	13198.63866	4	6	369	559	34
AP	2021	728406.25	13711597.77	98445.64239	13204.26952	2	4	420	565	43
AP	2022	733759	13514521.16	116312.5914	13313.38283	8	2	410	498	47
TO	2007	1315718.5	19017111.15	3415566.343	41000.83085	54	27	228	681	20
TO	2008	1338294	18932445.23	1556388.673	41792.98811	107	73	285	772	35
TO	2009	1360869.5	18819758.51	604746.6193	42703.93857	130	161	451	842	55
TO	2010	1383445	18700435.42	3817727.643	43664.37439	127	97	377	1046	48
TO	2011	1394112.917	18587794.34	1100306.106	44755.89542	149	113	437	1010	77
TO	2012	1404780.833	18414847.27	2453122.596	45665.81583	134	101	551	836	72
TO	2013	1415448.75	18148458.27	1223596.994	47237.25815	149	93	708	779	95
TO	2014	1426116.667	17947145.84	2114031.953	48525.6068	226	82	710	759	104
TO	2015	1436784.583	17721527.91	2109610.039	49529.12787	255	79	728	785	92
TO	2016	1447452.5	17578724.11	2150869.962	50400.19601	225	50	870	799	146
TO	2017	1458120.417	17465229.67	2474896.096	50896.91527	380	80	1366	651	207
TO	2018	1468788.333	17354799.27	915537.8843	51650.05897	558	237	1758	776	275
TO	2019	1479456.25	17229465.73	1939186.223	52131.3492	611	209	1956	927	261
TO	2020	1490124.167	17131020.12	1677007.605	52564.63754	474	116	1826	935	278
TO	2021	1500792.083	17012060.51	1211011.5	52644.18675	599	133	1656	696	258
TO	2022	1511460	16828236.86	1436606.151	53210.18146	551	214	1736	640	283
MA	2007	6299617.9	22980972.97	2553857.682	77772.40774	12	14	140	1491	39
MA	2008	6391341.6	22721758.41	988942.1116	80161.94776	8	6	136	1484	38
MA	2009	6483065.3	22563902.23	720602.724	81915.5846	16	23	231	1432	35
MA	2010	6574789	22525743.87	2083708.397	84863.55259	21	8	262	1638	42
MA	2011	6591540.333	22345944.34	823800.007	87500.38657	42	12	411	1667	62
MA	2012	6608291.667	22132886.28	2413091.246	90342.85195	27	14	338	1440	58
MA	2013	6625043	21873656.49	1246680.024	93694.54773	36	30	721	1403	91
MA	2014	6641794.333	21741371.01	1511709.76	96217.76043	60	46	671	1507	65
MA	2015	6658545.667	21618038.23	2356067.31	98236.10768	62	16	635	1483	75
MA	2016	6675297	21458301.48	1959623.001	100238.6274	59	28	826	1197	106
MA	2017	6692048.333	21354597.87	2055141.497	102027.7959	177	85	1387	1362	240
MA	2018	6708799.667	21234103.18	879147.6667	104303.7226	264	152	1848	1771	244
MA	2019	6725551	21118345.67	1034945.556	105770.3724	253	159	2042	2237	239
MA	2020	6742302.333	20882213.12	1044051.845	106805.0411	159	60	1878	2297	209
MA	2021	6759053.667	20619025.23	621796.703	106927.4477	232	77	2234	2234	294
MA	2022	6775805	20079371.83	878862.0353	108547.5377	270	83	2154	2035	367
PI	2007	3035880.4	21033509.3	1800070.504	46750.99347	25	NA	276	222	31
PI	2008	3063373.6	21019092.89	654731.0299	47807.8465	26	6	387	185	31
PI	2009	3090866.8	21015394.53	386641.7078	48917.31976	46	18	584	276	47
PI	2010	3118360	20984944.11	1721775.881	50008.61318	43	4	514	276	37
PI	2011	3131096.583	20933022.92	840504.2436	51389.12055	66	12	692	255	47
PI	2012	3143833.167	20749774.66	1708677.21	52636.60666	59	5	848	247	72
PI	2013	3156569.75	20597403.05	722862.4703	54283.5437	140	21	1863	168	111
PI	2014	3169306.333	20433500.58	1171876.619	55595.33218	183	19	1618	201	93
PI	2015	3182042.917	20276670.88	1523145.243	56694.77258	299	14	1380	223	85
PI	2016	3194779.5	20232195.41	861498.7323	58032.4945	326	25	1837	294	142
PI	2017	3207516.083	20118099.99	840005.6478	59769.36634	575	22	2473	289	162
PI	2018	3220252.667	19968838.87	798523.7781	62163.79035	734	70	2843	324	221
PI	2019	3232989.25	19887739.74	1082639.385	63253.33118	676	70	2740	401	174
PI	2020	3245725.833	19781523.81	864689.1446	64138.19326	418	35	2317	431	150
PI	2021	3258462.417	19694130.97	1070468.249	64249.16758	563	70	3016	466	210
PI	2022	3271199	19539464.88	937468.6144	65057.17991	748	57	3944	426	256
CE	2007	8146145.8	9679183.079	42453.8063	86294.0041	85	3	673	611	56
CE	2008	8248224.2	9632655.128	56689.86345	87584.33415	84	5	461	680	52
CE	2009	8350302.6	9583419.234	42974.40097	89171.09798	150	4	722	872	57
CE	2010	8452381	9656293.034	16155.93816	91893.51206	126	2	1098	840	51
CE	2011	8480929	9698732.641	12805.34421	95444.5668	346	9	2272	663	88
CE	2012	8509477	9795725.107	55034.62509	98696.39968	231	12	2353	556	79
CE	2013	8538025	9844945.571	8767.876305	101521.7086	250	21	3399	451	90
CE	2014	8566573	9913742.093	9619.320198	104151.4478	347	35	3298	437	102
CE	2015	8595121	9920707.69	21753.58174	107111.2903	220	22	2864	608	101
CE	2016	8623669	9944732.419	38231.68915	109646.849	168	38	3893	769	129
CE	2017	8652217	10017283.64	35144.9945	112095.0461	406	40	4252	810	211
CE	2018	8680765	9971260.649	24563.82598	115839.8704	748	70	5819	852	218
CE	2019	8709313	9944653.017	98049.95982	118590.3891	1240	102	7711	1102	339
CE	2020	8737861	9924791.131	50207.49434	120357.8619	991	69	5986	989	210
CE	2021	8766409	9912058.921	36558.3415	120846.3225	999	48	5279	930	182
CE	2022	8794957	9898170.496	20952.60485	123394.8537	1521	80	6171	758	270
RN	2007	3050871.6	2749818.672	6278.573976	34247.68285	16	11	1262	284	71
RN	2008	3089923.4	2802157.144	5147.943839	35184.57425	69	17	1420	287	81
RN	2009	3128975.2	2835118.589	2669.283118	36263.10777	129	30	2189	468	131
RN	2010	3168027	2801939.633	1512.353199	37692.78569	162	31	2324	557	143
RN	2011	3179252.167	2784224.687	531.1004613	38997.80277	436	65	2825	380	150
RN	2012	3190477.333	2712837.174	3855.226915	40945.37314	284	27	3012	357	140
RN	2013	3201702.5	2672914.856	677.4762639	42272.1114	344	39	3300	230	154
RN	2014	3212927.667	2672046.702	971.7030011	43836.95625	699	49	3712	248	168
RN	2015	3224152.833	2664511.79	2445.033047	44885.94564	588	38	3877	370	167
RN	2016	3235378	2677660.942	1162.86616	46100.0161	430	41	3738	451	185
RN	2017	3246603.167	2656613.599	3054.323488	47186.37097	758	51	4352	431	215
RN	2018	3257828.333	2677925.25	2370.047541	49187.98004	1066	63	4603	455	247
RN	2019	3269053.5	2678273.405	12812.15224	50463.71218	1281	83	5594	594	279
RN	2020	3280278.667	2672712.101	7397.347731	51493.55554	830	47	4250	659	206
RN	2021	3291503.833	2669320.445	6327.886478	51754.02325	743	33	3575	575	218
RN	2022	3302729	2669808.553	3410.731776	53163.1728	1626	65	4228	423	273
PB	2007	3670007.8	3204376.042	14969.89252	35893.40088	117	3	1066	424	42
PB	2008	3702181.2	3222285.454	22915.76554	36824.82578	109	3	1148	390	35
PB	2009	3734354.6	3232819.05	13776.86285	37737.97114	112	7	1115	603	45
PB	2010	3766528	3163609.282	7130.09093	39182.32589	52	6	1474	545	43
PB	2011	3783874.583	3128169.988	3231.716253	40309.80559	92	16	2109	427	58
PB	2012	3801221.167	3018801.775	8075.290144	41601.71178	88	35	2448	394	67
PB	2013	3818567.75	2996370.666	1399.832272	42762.31043	138	23	2869	271	104
PB	2014	3835914.333	2998687.9	3705.792071	43922.79466	145	18	3464	273	68
PB	2015	3853260.917	3006574.417	4873.805016	45228.95103	113	21	3047	404	95
PB	2016	3870607.5	3047331.726	7403.780296	46457.59907	101	24	1349	375	62
PB	2017	3887954.083	3048037.375	8494.081037	48277.15638	154	51	4352	411	127
PB	2018	3905300.667	3052216.857	14633.62903	51758.62559	304	58	4900	446	152
PB	2019	3922647.25	3052216.848	46109.87828	53248.23067	482	67	6213	545	195
PB	2020	3939993.833	3046487.689	19500.0095	54133.70861	446	44	5757	662	164
PB	2021	3957340.417	3041607.133	26174.65384	54318.54269	414	44	5988	564	146
PB	2022	3974687	3043870.96	4685.13923	55495.03184	550	72	6265	481	184
PE	2007	8536259.8	5075691.626	18673.71801	69840.6751	311	29	6966	784	80
PE	2008	8622989.2	5055656.529	21941.1206	71348.62308	389	30	5479	733	65
PE	2009	8709718.6	5049391.306	17040.45905	73022.39739	409	14	5216	838	63
PE	2010	8796448	5049139.219	5327.101343	76164.12312	512	19	4987	748	84
PE	2011	8818321.583	5019786.77	4296.172359	78593.62644	834	31	5478	920	87
PE	2012	8840195.167	4983891.95	9418.546246	81837.54004	685	30	5750	708	132
PE	2013	8862068.75	4989748.561	3144.548797	84578.46691	780	40	8019	614	147
PE	2014	8883942.333	4912988.846	1879.492487	87286.17381	1423	64	9367	649	146
PE	2015	8905815.917	4882608.92	4434.43695	89690.88727	1271	70	8462	875	176
PE	2016	8927689.5	4842624.025	4497.289438	91747.11978	987	70	10142	1005	192
PE	2017	8949563.083	4794119.711	3169.92847	94882.12609	1403	91	14814	833	218
PE	2018	8971436.667	4814269.176	3583.297913	100669.4299	2590	152	17183	853	306
PE	2019	8993310.25	4806728.595	8604.423078	103547.3076	2778	138	17367	1060	354
PE	2020	9015183.833	4806636.22	7641.173757	105135.1275	2639	77	13055	876	303
PE	2021	9037057.417	4805665.507	5382.105607	105571.3312	2648	88	15176	1031	349
PE	2022	9058931	4810676.07	7286.963398	107948.5767	3929	122	14777	991	358
AL	2007	3032702.6	598484.6311	1083.408466	23837.46727	112	58	2999	317	47
AL	2008	3061966.4	592479.2725	3025.500382	24346.28574	182	54	3515	350	40
AL	2009	3091230.2	591211.444	1394.154343	24776.04498	249	49	3770	380	65
AL	2010	3120494	593780.0284	285.3707578	26640.85092	350	31	4751	360	74
AL	2011	3121093.083	596628.185	589.2536857	28002.88008	433	54	5386	301	82
AL	2012	3121692.167	588079.7841	328.4870883	29315.44239	362	29	5455	286	78
AL	2013	3122291.25	587494.9022	679.3199923	30400.53362	358	48	6830	307	101
AL	2014	3122890.333	579977.9149	330.2889511	31238.05894	683	60	7921	297	73
AL	2015	3123489.417	586989.0253	336.1921979	32051.36668	496	40	6842	322	64
AL	2016	3124088.5	577049.8616	232.6788904	32902.58057	419	48	7255	328	93
AL	2017	3124687.583	562959.2968	408.6415394	33770.45003	438	52	9003	324	120
AL	2018	3125286.667	559817.1408	153.8611342	35499.86455	839	50	9634	303	129
AL	2019	3125885.75	548607.8438	87.87592064	36742.06613	821	71	10322	382	142
AL	2020	3126484.833	550598.853	186.4983533	37375.09231	724	52	9888	328	119
AL	2021	3127083.917	552789.5658	271.2786114	37568.09338	751	99	11121	407	131
AL	2022	3127683	557946.7879	92.2802324	38508.5933	966	101	10905	353	139
SE	2007	1983060.6	385726.1167	449.4732059	15447.35826	40	10	254	170	38
SE	2008	2011379.4	380535.6423	1743.342806	15907.43382	32	10	297	230	39
SE	2009	2039698.2	377969.3895	698.4121114	16210.31282	42	5	446	243	35
SE	2010	2068017	372200.2711	345.1627833	17749.51663	58	5	648	180	27
SE	2011	2079849.25	369252.1423	264.2526075	18724.29449	90	7	756	195	28
SE	2012	2091681.5	358441.1512	322.2019136	19795.53366	69	8	715	163	35
SE	2013	2103513.75	355730.8346	546.6286466	20758.17357	57	6	898	136	38
SE	2014	2115346	352722.1814	361.728991	21685.77001	74	11	908	131	27
SE	2015	2127178.25	357158.0314	708.9545066	22194.12253	62	7	972	222	31
SE	2016	2139010.5	356877.3184	665.9454724	23012.75073	94	7	1122	162	53
SE	2017	2150842.75	354739.5316	610.704396	23410.3849	128	6	1640	166	74
SE	2018	2162675	353400.5543	338.0756596	25234.49027	154	16	1929	157	70
SE	2019	2174507.25	352502.4976	671.274009	26083.47898	127	23	1900	206	85
SE	2020	2186339.5	352086.4097	378.1136971	26518.38795	127	16	1973	142	71
SE	2021	2198171.75	352278.7277	337.2216858	26648.54609	121	16	1749	172	54
SE	2022	2210004	353699.5096	221.1149153	27162.54347	300	29	2501	216	82
BA	2007	13737564.9	31239238.51	1719653.247	139892.7011	222	54	5842	2490	206
BA	2008	13830678.6	31170889.06	878267.2799	143393.5856	173	42	6224	2593	213
BA	2009	13923792.3	31118925.91	200004.2553	146588.5403	353	50	9314	3242	292
BA	2010	14016906	31075686.9	1041952.651	151619.9564	453	89	8913	3036	423
BA	2011	14027299.33	30937390.51	621804.0324	156670.3695	589	100	10344	3139	498
BA	2012	14037692.67	30639430.75	1297177.845	160700.9293	501	92	9014	2659	495
BA	2013	14048086	30330716.77	291446.4653	165817.4231	504	87	10648	2534	573
BA	2014	14058479.33	30112430.24	421935.2245	169844.0939	778	116	11814	2152	509
BA	2015	14068872.67	29994817.69	1051055.25	174945.2583	948	94	10261	2516	483
BA	2016	14079266	30005333.97	244230.7008	178772.2588	725	98	9301	2532	528
BA	2017	14089659.33	29921829.63	315648.0544	183465.7229	832	101	14137	2628	847
BA	2018	14100052.67	29899390.58	169294.687	191706.5402	1188	220	20263	2312	982
BA	2019	14110446	29803956.24	297648.7366	196768.2027	1639	302	20970	2692	1000
BA	2020	14120839.33	29607112.33	337860.0608	200508.2318	1617	198	18929	3142	846
BA	2021	14131232.67	29510872.42	932856.9599	201543.6003	1590	169	16926	3110	816
BA	2022	14141626	29334992.78	480766.6266	206146.5474	1831	215	18843	2830	946
MG	2007	19089671.2	21091759.74	518131.3706	314504.8041	758	669	8379	3449	1764
MG	2008	19258890.8	21072771.69	267381.2832	319539.6508	914	816	9726	3510	1718
MG	2009	19428110.4	21064344.6	69015.17929	324875.9951	984	928	12917	2900	2237
MG	2010	19597330	21050124.89	317202.9465	332941.019	1082	585	12035	3167	1802
MG	2011	19675884.92	21037292.46	351307.8082	341813.5298	1239	638	13251	3848	2174
MG	2012	19754439.83	20956890.72	259053.4287	348573.1557	1462	1017	14214	3703	2859
MG	2013	19832994.75	20907982.37	73013.01715	357196.1559	1631	1112	17037	3494	3807
MG	2014	19911549.67	20841703.79	201837.7748	364292.7249	2215	706	19076	2656	2910
MG	2015	19990104.58	20780214.79	203694.5874	370863.3877	2331	733	19914	2614	3312
MG	2016	20068659.5	20690018.99	106236.1344	376936.0272	2246	812	21496	2483	3403
MG	2017	20147214.42	20734824.26	108943.3139	383117.0653	2648	1107	28170	3329	3684
MG	2018	20225769.33	20783809.96	69495.83791	390499.4614	2920	1694	35745	3340	5263
MG	2019	20304324.25	20766323.48	131180.0139	395204.7811	2863	1562	35696	3400	5243
MG	2020	20382879.17	20745637.13	172232.7012	399660.748	2421	1274	36665	3478	4947
MG	2021	20461434.08	20729386.25	228474.9327	400478.2709	2543	1216	33576	3040	3650
MG	2022	20539989	20732862.91	121383.6553	406407.8449	2691	1575	34606	2759	4625
ES	2007	3389715.8	1141241.941	2548.448842	49719.47275	81	30	801	1084	274
ES	2008	3431461.2	1145415.498	2370.522978	50499.10866	124	31	1142	1160	259
ES	2009	3473206.6	1153749.934	321.9042689	51751.44549	76	39	1472	902	259
ES	2010	3514952	1152161.591	1215.322715	52802.21672	172	28	1538	864	272
ES	2011	3541515.333	1147938.752	628.6343774	54043.04574	326	42	2000	1003	352
ES	2012	3568078.667	1146023.21	545.6521934	55296.65886	351	53	2130	887	370
ES	2013	3594642	1137097.093	2594.502582	56483.99641	471	69	2235	950	402
ES	2014	3621205.333	1132270.563	1969.141884	57649.50881	386	62	2784	711	345
ES	2015	3647768.667	1133656.007	3853.552191	58510.90719	488	26	2519	712	311
ES	2016	3674332	1130495.723	5169.562413	58992.16899	399	33	2682	621	376
ES	2017	3700895.333	1134062.7	2229.637387	59626.62446	518	150	4783	743	500
ES	2018	3727458.667	1141425.36	524.0839826	60428.48194	516	135	5471	938	630
ES	2019	3754022	1147135.062	1877.12942	61243.31691	455	63	3751	812	422
ES	2020	3780585.333	1157112.898	1187.437904	61748.40508	NA	NA	NA	NA	NA
ES	2021	3807148.667	1167438.99	1813.683217	61909.72535	NA	NA	NA	NA	NA
ES	2022	3833712	1174915.379	1388.864612	62925.86037	NA	NA	NA	NA	NA
RJ	2007	15510582.1	1356448.56	8505.470366	182258.5511	39	4	236	571	211
RJ	2008	15670364.4	1357179.578	1543.125101	184914.3783	41	8	261	573	203
RJ	2009	15830146.7	1358272.19	806.7816879	187335.4893	31	10	241	619	225
RJ	2010	15989929	1358528.186	3329.404309	192262.2498	33	21	243	599	231
RJ	2011	15995366.08	1357483.045	4474.901755	196455.6468	20	19	214	532	195
RJ	2012	16000803.17	1363972.364	1237.244579	200154.4086	30	27	303	600	340
RJ	2013	16006240.25	1367839.753	513.7741036	203745.8212	46	16	297	576	383
RJ	2014	16011677.33	1374851.968	4501.981478	207311.4097	67	14	270	510	290
RJ	2015	16017114.42	1385568.461	4186.73212	209592.262	82	32	309	558	342
RJ	2016	16022551.5	1388934.276	1154.843468	211233.1245	89	24	429	516	448
RJ	2017	16027988.58	1395929.573	2327.123386	212899.7685	102	35	529	611	508
RJ	2018	16033425.67	1402658.081	570.690187	214619.9631	93	62	748	696	576
RJ	2019	16038862.75	1410750.46	1201.154517	216159.3275	99	61	746	728	739
RJ	2020	16044299.83	1415301.645	1106.038541	217033.9428	83	55	609	664	661
RJ	2021	16049736.92	1428137.838	1058.137386	217197.4422	76	47	599	567	612
RJ	2022	16055174	1427966.719	1433.06019	218560.4981	158	66	639	526	669
SP	2007	39994176.1	5019394.748	2996.738515	624618.0316	1394	423	4351	1457	2170
SP	2008	40416850.4	5039847.459	2402.21853	634592.1195	1579	532	5328	1704	2495
SP	2009	40839524.7	5052661.524	1852.50194	642339.8951	1850	570	6453	1898	3480
SP	2010	41262199	5081841.176	4589.601432	652901.6498	1837	513	7129	1754	3111
SP	2011	41524618.92	5099564.802	4528.583815	662880.4425	2082	510	7089	1908	3303
SP	2012	41787038.83	5112858.915	2828.053014	673941.0727	2336	677	9137	1901	3539
SP	2013	42049458.75	5118256.136	2038.833516	686378.6499	2481	624	11297	1767	4418
SP	2014	42311878.67	5143940.781	6273.500517	695895.6624	2626	380	12399	1875	3530
SP	2015	42574298.58	5183625.513	1527.100243	705258.0721	2674	406	15205	1886	4239
SP	2016	42836718.5	5206169.748	3110.508119	714750.375	2571	670	17408	1755	4366
SP	2017	43099138.42	5231083.446	6394.393898	723762.449	3325	691	21246	2216	5050
SP	2018	43361558.33	5253032.955	4543.464754	733111.1828	3924	881	30127	2070	5264
SP	2019	43623978.25	5261907.861	4449.212228	740502.4711	4363	876	33656	2087	6418
SP	2020	43886398.17	5277219.425	10869.84944	745652.7101	3203	853	36760	2059	5012
SP	2021	44148818.08	5306843.814	15148.19782	746697.1172	2968	602	33771	2028	4669
SP	2022	44411238	5329667.789	1088.317779	754350.2747	3410	753	41788	1816	5186
PR	2007	10180561.1	5297330.425	13091.81084	213403.0539	789	1141	717	1065	10647
PR	2008	10268549.4	5307621.682	21815.14521	217498.7601	742	1458	741	990	9161
PR	2009	10356537.7	5317629.338	34011.9371	220688.4371	795	1102	703	1006	9790
PR	2010	10444526	5340257.549	15966.02515	226463.1798	733	837	797	905	9224
PR	2011	10527847.17	5350659.361	1907.331459	231515.227	829	963	883	894	9252
PR	2012	10611168.33	5375219.315	10449.20842	236276.5357	1213	744	1029	821	7781
PR	2013	10694489.5	5400588.319	2230.48615	241981.6442	1151	690	1266	769	8918
PR	2014	10777810.67	5426383.254	609.2976719	246453.672	1609	715	1430	823	8996
PR	2015	10861131.83	5448513.934	1213.489541	250939.5255	1596	755	1913	790	10114
PR	2016	10944453	5472568.819	3290.087881	255909.1817	1271	712	1708	867	9046
PR	2017	11027774.17	5493717.46	17782.44872	260174.2891	2101	844	2424	930	9669
PR	2018	11111095.33	5508621.531	1719.550194	264527.4333	1898	964	3260	841	10171
PR	2019	11194416.5	5510657.544	30037.80357	268449.001	2273	718	3405	819	9985
PR	2020	11277737.67	5517173.15	1933.886019	270831.7486	1781	449	3581	791	7750
PR	2021	11361058.83	5527208.684	27740.37108	271288.9045	1475	466	4050	722	7242
PR	2022	11444380	5503474.392	909.4354117	274154.6985	1517	462	4533	630	7106
SC	2007	5981264.4	4463272.882	23043.26386	143917.244	753	488	191	876	4742
SC	2008	6070321.6	4447906.084	4610.868359	148124.8416	579	524	198	828	4688
SC	2009	6159378.8	4434025.746	8340.403726	152112.6153	812	643	194	903	4863
SC	2010	6248436	4421422.386	16009.82246	156323.816	774	573	209	795	5754
SC	2011	6361929.75	4422894.637	6595.366794	160152.6749	773	529	217	747	6077
SC	2012	6475423.5	4420972.304	5650.91019	164039.8593	916	409	208	762	5521
